City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
299,Naze,JP,1579317790,28.37,129.48,75,55,62.6,16.11
300,Esperance,AU,1579317803,-33.87,121.9,90,52,69.8,19.46
301,Linguere,SN,1579318110,15.4,-15.12,0,13,68.94,12.53
302,Fairbanks,US,1579317807,64.84,-147.72,1,74,1.0,2.84
303,Kapuskasing,CA,1579318032,49.42,-82.43,90,83,-11.2,5.82
304,Sur,OM,1579318035,22.57,59.53,0,58,62.42,8.25
305,Cleethorpes,GB,1579318110,53.56,-0.03,50,86,39.99,12.75
306,Faya,SA,1579318110,18.39,42.45,0,49,48.2,4.07
307,Lavrentiya,RU,1579317788,65.58,-171.0,43,90,0.55,4.92
308,Coahuayana Viejo,MX,1579318110,18.73,-103.68,5,61,77.0,5.35
309,Berdigestyakh,RU,1579318110,62.1,126.7,93,97,2.68,3.06
310,Kargasok,RU,1579318029,59.06,80.86,0,89,-10.7,10.2
311,Forsytheganj,BY,1579318111,52.63,29.73,0,94,29.7,6.49
312,Lagoa,PT,1579317800,39.05,-27.98,0,86,61.92,7.9
313,Tura,IN,1579317853,25.52,90.22,0,55,72.32,1.79
314,Jiwani,PK,1579318111,25.05,61.74,0,44,63.1,15.64
315,Sorland,NO,1579318111,67.67,12.69,100,77,35.19,18.41
316,Barra do Corda,BR,1579318111,-5.5,-45.25,76,94,73.45,3.04
317,Lata,PT,1579318065,40.16,-8.33,75,87,57.0,11.41
318,Sarangani,PH,1579318112,5.4,125.46,0,77,80.51,18.1
319,Sola,VU,1579317816,-13.88,167.55,75,70,89.6,11.41
320,Kidal,ML,1579318053,18.44,1.41,100,33,60.55,13.51
321,Marawi,PH,1579317874,8.0,124.29,0,76,82.0,5.01
322,Calvinia,ZA,1579318112,-31.47,19.78,48,66,68.43,10.85
323,Muroto,JP,1579318112,33.28,134.15,20,32,55.4,14.99
324,Miraflores,MX,1579318112,19.22,-98.81,40,42,62.6,4.7
325,Itarema,BR,1579318112,-2.92,-39.92,94,86,77.25,4.14
326,Roblin,CA,1579318000,51.23,-101.36,100,96,-6.03,11.03
327,Vanimo,PG,1579318113,-2.67,141.3,37,81,82.87,22.15
